date,open,high,low,close,volume,average,barCount,vol_avg,vol_ratio,shortMA,midMA,vol_spike,crossover,signal
2025-06-23 09:30:00-04:00,201.59,201.73,200.79,201.34,1187368.0,201.363,2234,,,,,False,False,False
2025-06-23 09:31:00-04:00,201.31,201.32,200.59,200.79,223738.0,200.897,1507,,,,,False,False,False
2025-06-23 09:32:00-04:00,200.81,200.82,200.09,200.65,309360.0,200.374,1861,,,,,False,False,False
2025-06-23 09:33:00-04:00,200.63,200.92,200.38,200.92,170901.0,200.617,1163,,,,,False,False,False
2025-06-23 09:34:00-04:00,200.91,200.91,200.27,200.28,164841.0,200.569,999,,,200.796,,False,False,False
2025-06-23 09:35:00-04:00,200.28,200.29,199.94,200.15,200075.0,200.093,1208,,,200.558,,False,False,False
2025-06-23 09:36:00-04:00,200.16,200.54,200.14,200.43,240748.0,200.372,1201,,,200.48600000000002,,False,False,False
2025-06-23 09:37:00-04:00,200.41,200.88,200.39,200.8,172412.0,200.706,885,,,200.51600000000002,,False,False,False
2025-06-23 09:38:00-04:00,200.84,200.93,200.77,200.85,116840.0,200.839,624,,,200.502,,False,False,False
2025-06-23 09:39:00-04:00,200.84,201.0,200.72,200.96,116199.0,200.873,578,,,200.638,200.717,False,False,False
2025-06-23 09:40:00-04:00,200.95,201.01,200.83,200.9,113167.0,200.92,563,,,200.788,200.673,False,True,False
2025-06-23 09:41:00-04:00,200.91,201.11,200.91,201.01,129717.0,201.026,636,,,200.904,200.695,False,False,False
2025-06-23 09:42:00-04:00,201.02,201.14,200.92,201.09,132802.0,201.008,676,,,200.962,200.739,False,False,False
2025-06-23 09:43:00-04:00,201.11,201.41,200.99,201.29,194186.0,201.247,783,,,201.05,200.776,False,False,False
2025-06-23 09:44:00-04:00,201.3,201.59,201.26,201.52,164813.0,201.466,829,,,201.16199999999998,200.9,False,False,False
2025-06-23 09:45:00-04:00,201.53,201.59,201.21,201.39,214510.0,201.413,1029,,,201.26,201.02399999999997,False,False,False
2025-06-23 09:46:00-04:00,201.37,201.68,201.33,201.66,213155.0,201.568,1150,,,201.39,201.147,False,False,False
2025-06-23 09:47:00-04:00,201.66,201.66,201.42,201.61,109229.0,201.557,519,,,201.49399999999997,201.228,False,False,False
2025-06-23 09:48:00-04:00,201.62,201.66,201.45,201.45,118398.0,201.538,687,,,201.526,201.28799999999998,False,False,False
2025-06-23 09:49:00-04:00,201.45,201.71,201.45,201.61,115477.0,201.614,662,220396.8,0.5239504384818655,201.544,201.353,False,False,False
2025-06-23 09:50:00-04:00,201.61,201.68,201.4,201.45,109774.0,201.52,735,166517.1,0.6592355980256682,201.55599999999998,201.40800000000002,False,False,False
2025-06-23 09:51:00-04:00,201.45,201.62,201.41,201.57,106584.0,201.542,621,160659.4,0.6634158972335263,201.538,201.464,False,False,False
2025-06-23 09:52:00-04:00,201.57,201.73,201.47,201.71,118240.0,201.634,626,151103.4,0.782510519286793,201.558,201.526,False,False,False
2025-06-23 09:53:00-04:00,201.71,201.83,201.64,201.76,88791.0,201.747,514,146997.9,0.6040290371495103,201.61999999999998,201.573,False,False,False
2025-06-23 09:54:00-04:00,201.78,201.91,201.73,201.82,157453.0,201.838,624,146628.5,1.073822619749912,201.66199999999998,201.603,False,False,False
2025-06-23 09:55:00-04:00,201.82,201.89,201.72,201.75,87391.0,201.816,475,140994.3,0.6198193827693744,201.722,201.63899999999998,False,False,False
2025-06-23 09:56:00-04:00,201.75,201.77,201.6,201.66,81780.0,201.69,465,133045.9,0.6146750858162484,201.73999999999998,201.639,False,False,False
2025-06-23 09:57:00-04:00,201.66,201.8,201.63,201.71,66792.0,201.73,470,127764.9,0.5227726863950898,201.74,201.64899999999997,False,False,False
2025-06-23 09:58:00-04:00,201.71,201.81,201.7,201.73,72615.0,201.762,406,125553.65,0.57835833526146,201.734,201.677,False,False,False
2025-06-23 09:59:00-04:00,201.72,201.74,201.63,201.73,72454.0,201.681,465,123366.4,0.5873074029881719,201.71599999999998,201.689,False,False,False
2025-06-23 10:00:00-04:00,201.72,201.92,201.7,201.79,222394.0,201.838,1037,128827.75,1.7262895610611844,201.724,201.72299999999998,True,False,False
2025-06-23 10:01:00-04:00,201.79,202.03,201.64,201.76,236615.0,201.924,1172,134172.65,1.7635114160747367,201.744,201.742,True,False,False
2025-06-23 10:02:00-04:00,201.75,201.84,201.68,201.84,77501.0,201.764,474,131407.6,0.5897756294156502,201.76999999999998,201.755,False,False,False
2025-06-23 10:03:00-04:00,201.83,201.86,201.66,201.69,94270.0,201.742,582,126411.8,0.7457373441403413,201.762,201.748,False,False,False
2025-06-23 10:04:00-04:00,201.68,201.82,201.65,201.68,78641.0,201.711,477,122103.2,0.6440535546979932,201.752,201.73399999999998,False,False,False
2025-06-23 10:05:00-04:00,201.69,201.91,201.68,201.82,121132.0,201.82,705,117434.3,1.0314873933765518,201.75799999999998,201.74099999999999,False,False,False
2025-06-23 10:06:00-04:00,201.83,202.13,201.82,201.99,138835.0,201.995,820,113718.3,1.2208677055495905,201.804,201.77399999999997,False,False,False
2025-06-23 10:07:00-04:00,202.0,202.07,201.89,201.91,133701.0,201.943,556,114941.9,1.1632050627316932,201.818,201.79399999999998,False,False,False
